id;title;year;exact_date;type;eraId;language;driveFileId;lat;lng;description;tags;regions;themes
rev-v2-29;Revista Doc 28;1924;1924-05-01;newspaper;S20;es;1Bu6pED7__vdw70bgiuu1pWmjqIRXqTjr;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-30;Revista Doc 29;1925;1925-06-01;newspaper;S20;es;10oUxQYZFYcqaVtAOVTcMen6XLYqzdCi8;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-31;Revista Doc 30;1920;1920-07-01;newspaper;S20;es;19Nu_hCwWHbA0NZucVxUwQkpisRBpCmOK;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-32;Revista Doc 31;1921;1921-08-01;newspaper;S20;es;1j8phPeEY2lFdKDgnhA9v-mCKKxAu5qtb;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-33;Revista Doc 32;1922;1922-09-01;newspaper;S20;es;17KBZUyD_FkGUUKTDOD4DL4JQgaY4Wk1P;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-34;Revista Doc 33;1923;1923-10-01;newspaper;S20;es;1bx6bAE5WB42b-9lT6dflJLLBmLXyb9Rj;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-35;Revista Doc 34;1924;1924-11-01;newspaper;S20;es;1UF958SeqZRaNLUakWSBoqabF2XHdy0Zw;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-36;Revista Doc 35;1925;1925-12-01;newspaper;S20;es;1ax_IKYaGRGwB3ilFiYkOvP-zTenwSVJz;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-37;Revista Doc 36;1920;1920-01-01;newspaper;S20;es;1H_U3gqlFp2j5eSizzprvZR1qJpYBsN4d;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-38;Revista Doc 37;1921;1921-02-01;newspaper;S20;es;1pWdQ7T7ZNrbF58dH_aXCuFDAiqtwcgn7;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-39;Revista Doc 38;1922;1922-03-01;newspaper;S20;es;1A0SitUubv9gMKytK_mD68edCc7oAweD7;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-40;Revista Doc 39;1923;1923-04-01;newspaper;S20;es;1Dosq2WyFyYAgxynu22u_P78OG4izDgWU;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-41;Revista Doc 40;1924;1924-05-01;newspaper;S20;es;1TEpI5qBHYy7NboznQKhYNCTQ6ieOKx_G;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-42;Revista Doc 41;1925;1925-06-01;newspaper;S20;es;13fx4ExktHRHeCzTwiSVZTy0tk7xP7gAf;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-43;Revista Doc 42;1920;1920-07-01;newspaper;S20;es;1qGpVUqVYo4CGRKRo-rK-djIG6o2c6fPt;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-44;Revista Doc 43;1921;1921-08-01;newspaper;S20;es;15OmYXIgjzDKmYVCrsnZzAcK4nV1CgQTj;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-45;Revista Doc 44;1922;1922-09-01;newspaper;S20;es;1zB71O4EcWh-Yp367YcxM66KQXYCbbln0;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
rev-v2-46;Revista Doc 45;1923;1923-10-01;newspaper;S20;es;1noaldTTujXM_i-FCGbmpCKtnElXj48bP;40.41;-3.70;Documento histórico real de la Hemeroteca Noor.;Documental|SigloXX;MADRID;SOC
rev-v2-47;Revista Doc 46;1924;1924-11-01;newspaper;S20;es;1iT1Rcy-rORNtJnLS3OUC_XH8MvQqnQf_;37.88;-4.77;Documento histórico real de la Hemeroteca Noor.;Prensa|Vol2;QURTUBA;CUL
rev-v2-48;Revista Doc 47;1925;1925-12-01;newspaper;S20;es;1mlNWRW9eztS0U53t1FKbca5-zxM3GxrA;37.38;-5.98;Documento histórico real de la Hemeroteca Noor.;Cultura|Andalus;ISHBILIYYA;SOC
rev-v2-49;Revista Doc 48;1920;1920-01-01;newspaper;S20;es;1RSEwg6jchzdX5IeK5rG6_aPzQ1ZziV3K;36.72;-4.42;Documento histórico real de la Hemeroteca Noor.;Historia|Investigación;MALAGA;INF
rev-v2-50;Revista Doc 49;1921;1921-02-01;newspaper;S20;es;1ds-K7Pm8LlHwTEpPRjsEegMk8cU9bzpu;37.17;-3.59;Documento histórico real de la Hemeroteca Noor.;Prensa|Archivo;GARNATA;CUL
